set,task,T,C,D
44,3,414,14,414
44,4,422,173,422
44,5,775,248,775
45,1,857,12,857
45,2,949,80,949
45,3,464,65,464
45,4,121,3,121
45,5,694,434,694
46,1,806,236,806
46,2,381,5,381
46,3,393,146,393
46,4,324,34,324
46,5,902,102,902
47,1,975,43,975
47,2,661,293,661
47,3,405,133,405
47,4,780,6,780
47,5,363,26,363
48,1,148,5,148
48,2,566,135,566
48,3,824,273,824
48,4,314,2,314
48,5,163,46,163
49,1,738,53,738
49,2,378,70,378
49,3,261,105,261
49,4,504,49,504
49,5,505,69,505
50,1,122,19,122
50,2,310,32,310
50,3,435,66,435
50,4,939,7,939
50,5,649,310,649
51,1,858,12,858
51,2,415,10,415
51,3,833,268,833
51,4,978,9,978
51,5,927,488,927
52,1,472,165,472
52,2,711,41,711
52,3,234,18,234
52,4,483,109,483
52,5,413,76,413
53,1,357,81,357
53,2,618,109,618
53,3,771,205,771
53,4,883,113,883
53,5,136,13,136
54,1,588,10,588
54,2,855,519,855
54,3,729,179,729
54,4,937,27,937
54,5,859,1,859
55,1,213,43,213
55,2,274,5,274
55,3,144,57,144
55,4,415,11,415
55,5,690,173,690
56,1,188,5,188
56,2,548,129,548
56,3,737,168,737
56,4,732,181,732
56,5,157,24,157
57,1,477,9,477
57,2,875,193,875
57,3,219,42,219
57,4,437,14,437
57,5,275,118,275
58,1,485,108,485
58,2,783,11,783
58,3,619,163,619
58,4,166,34,166
58,5,988,186,988
59,1,489,25,489
59,2,657,121,657
59,3,125,23,125
59,4,113,11,113
59,5,747,283,747
60,1,957,4,957
60,2,212,46,212
60,3,446,137,446
60,4,339,74,339
60,5,154,23,154
61,1,433,12,433
61,2,204,7,204
61,3,641,265,641
61,4,728,253,728
61,5,237,17,237
62,1,942,90,942
62,2,131,9,131
62,3,906,188,906
62,4,411,69,411
62,5,619,222,619
63,1,579,8,579
63,2,786,57,786
63,3,960,169,960
63,4,802,457,802
63,5,626,41,626
64,1,541,1,541
64,2,937,147,937
64,3,161,3,161
64,4,188,132,188
64,5,871,14,871
65,1,430,166,430
65,2,196,23,196
65,3,723,39,723
65,4,861,104,861
65,5,825,181,825
66,1,481,76,481
66,2,784,72,784
66,3,139,15,139
66,4,433,201,433
66,5,434,30,434
67,1,403,217,403
67,2,821,35,821
67,3,293,56,293
67,4,887,103,887
67,5,938,6,938
68,1,130,43,130
68,2,169,67,169
68,3,543,14,543
68,4,540,14,540
68,5,465,52,465
69,1,647,61,647
69,2,194,13,194
69,3,858,181,858
69,4,175,53,175
69,5,532,116,532
70,1,332,95,332
70,2,392,17,392
70,3,870,151,870
70,4,634,193,634
70,5,234,20,234
71,1,462,107,462
71,2,994,289,994
71,3,155,5,155
71,4,656,125,656
71,5,341,50,341
72,1,985,90,985
72,2,215,7,215
72,3,114,6,114
72,4,769,162,769
72,5,946,478,946
73,1,287,26,287
73,2,963,42,963
73,3,298,124,298
73,4,321,7,321
73,5,113,36,113
74,1,799,67,799
74,2,740,278,740
74,3,169,45,169
74,4,677,106,677
74,5,442,4,442
75,1,607,49,607
75,2,930,487,930
75,3,971,64,971
75,4,908,46,908
75,5,379,66,379
76,1,733,5,733
76,2,920,45,920
76,3,999,577,999
76,4,246,20,246
76,5,123,22,123
77,1,226,74,226
77,2,895,182,895
77,3,768,128,768
77,4,821,16,821
77,5,185,33,185
78,1,869,132,869
78,2,990,21,990
78,3,907,83,907
78,4,717,76,717
78,5,335,177,335
79,1,824,156,824
79,2,260,22,260
79,3,472,70,472
79,4,461,80,461
79,5,839,250,839
80,1,162,27,162
80,2,788,12,788
80,3,467,245,467
80,4,866,78,866
80,5,148,14,148
81,1,616,56,616
81,2,837,76,837
81,3,483,206,483
81,4,315,4,315
81,5,715,196,715
82,1,172,22,172
82,2,153,10,153
82,3,810,81,810
82,4,694,2,694
82,5,805,480,805
83,1,542,71,542
83,2,384,103,384
83,3,244,9,244
83,4,260,86,260
83,5,603,74,603
84,1,509,206,509
84,2,430,38,430
84,3,646,79,646
84,4,833,107,833
84,5,490,74,490
85,1,216,46,216
85,2,179,1,179
85,3,715,34,715
85,4,976,333,976
85,5,383,110,383
86,1,992,254,992
86,2,877,74,877
86,3,755,193,755
86,4,877,193,877
86,5,360,28,360
87,1,913,48,913
87,2,140,23,140
87,3,210,7,210
87,4,822,165,822
87,5,931,414,931
88,1,859,270,859
88,2,181,4,181
88,3,627,79,627
88,4,814,65,814
88,5,312,109,312
89,1,120,8,120
89,2,854,167,854
89,3,510,23,510
89,4,407,172,407
89,5,907,153,907
90,1,482,31,482
90,2,960,109,960
90,3,933,322,933
90,4,364,85,364
90,5,394,55,394
91,1,902,526,902
91,2,449,33,449
91,3,706,16,706
91,4,816,159,816
91,5,650,14,650
92,1,860,171,860
92,2,613,119,613
92,3,874,23,874
92,4,240,1,240
92,5,502,238,502
93,1,336,65,336
93,2,424,1,424
93,3,299,5,299
93,4,342,79,342
93,5,512,231,512
94,1,424,32,424
94,2,512,16,512
94,3,304,143,304
94,4,385,87,385
94,5,395,36,395
95,1,246,12,246
95,2,978,7,978
95,3,421,92,421
95,4,573,161,573
95,5,382,130,382
96,1,912,312,912
96,2,406,4,406
96,3,727,153,727
96,4,728,167,728
96,5,359,37,359
97,1,799,27,799
97,2,208,19,208
97,3,216,16,216
97,4,682,406,682
97,5,351,33,351
98,1,320,56,320
98,2,627,115,627
98,3,719,302,719
98,4,414,4,414
98,5,843,90,843
99,1,559,195,559
99,2,931,159,931
99,3,322,2,322
99,4,891,86,891
99,5,936,255,936
100,1,231,12,231
100,2,393,67,393
100,3,493,45,493
100,4,287,77,287
100,5,496,154,496
