set,task,T,C,D
50,3,993,303,797
50,4,222,8,221
50,5,207,54,170
51,1,614,19,591
51,2,441,85,435
51,3,979,275,919
51,4,243,35,237
51,5,673,166,635
52,1,525,9,473
52,2,206,7,192
52,3,661,145,591
52,4,290,141,236
52,5,261,36,259
53,1,964,13,929
53,2,203,31,170
53,3,706,69,679
53,4,976,407,974
53,5,760,164,668
54,1,405,14,364
54,2,921,174,760
54,3,193,69,180
54,4,922,227,833
54,5,227,15,184
55,1,558,90,481
55,2,332,41,324
55,3,797,15,664
55,4,622,299,582
55,5,354,39,293
56,1,711,1,688
56,2,895,344,886
56,3,881,91,737
56,4,368,116,331
56,5,160,14,143
57,1,530,60,485
57,2,986,492,876
57,3,448,8,374
57,4,947,211,864
57,5,788,34,668
58,1,619,244,566
58,2,772,338,733
58,3,318,2,291
58,4,918,6,805
58,5,692,33,565
59,1,605,60,585
59,2,852,164,795
59,3,602,147,586
59,4,695,70,635
59,5,870,227,864
60,1,211,21,171
60,2,551,45,469
60,3,220,46,215
60,4,429,154,390
60,5,951,137,827
61,1,101,17,83
61,2,930,10,808
61,3,507,192,446
61,4,948,116,895
61,5,319,66,263
62,1,640,73,553
62,2,367,38,346
62,3,947,1,793
62,4,646,53,562
62,5,140,83,139
63,1,965,431,788
63,2,666,49,573
63,3,318,3,274
63,4,350,113,293
63,5,640,29,639
64,1,932,273,835
64,2,499,18,470
64,3,692,207,681
64,4,397,74,360
64,5,959,79,928
65,1,687,263,564
65,2,606,1,556
65,3,267,100,260
65,4,980,19,945
65,5,114,13,112
66,1,413,66,368
66,2,135,5,109
66,3,367,36,321
66,4,204,97,171
66,5,960,117,886
67,1,748,160,703
67,2,801,114,727
67,3,825,163,793
67,4,592,118,570
67,5,501,72,459
68,1,979,86,786
68,2,230,70,189
68,3,627,111,581
68,4,335,9,289
68,5,668,199,584
69,1,695,199,655
69,2,436,28,428
69,3,573,133,484
69,4,279,6,235
69,5,809,236,659
70,1,399,15,343
70,2,904,609,858
70,3,757,70,728
70,4,266,5,251
70,5,690,50,608
71,1,634,18,605
71,2,124,67,110
71,3,336,43,297
71,4,247,33,231
71,5,215,12,197
72,1,550,50,493
72,2,278,28,227
72,3,863,111,774
72,4,680,277,566
72,5,369,62,324
73,1,801,72,657
73,2,226,89,221
73,3,335,30,316
73,4,714,58,686
73,5,730,174,693
74,1,100,49,82
74,2,698,112,648
74,3,586,130,497
74,4,917,19,910
74,5,329,1,316
75,1,268,23,223
75,2,160,46,142
75,3,137,10,119
75,4,218,68,200
75,5,292,37,241
76,1,939,51,800
76,2,242,19,202
76,3,226,159,225
76,4,134,5,118
76,5,103,2,84
77,1,861,240,709
77,2,391,104,340
77,3,587,84,488
77,4,595,98,498
77,5,648,29,610
78,1,361,73,320
78,2,986,111,862
78,3,550,48,454
78,4,587,278,529
78,5,202,4,196
79,1,769,177,649
79,2,293,99,255
79,3,737,20,621
79,4,326,20,323
79,5,303,73,269
80,1,786,40,636
80,2,602,142,565
80,3,464,42,398
80,4,660,26,631
80,5,369,176,344
81,1,899,73,720
81,2,141,5,114
81,3,637,326,583
81,4,423,46,404
81,5,211,32,207
82,1,691,80,588
82,2,591,17,509
82,3,765,65,667
82,4,894,491,817
82,5,642,76,612
83,1,403,83,387
83,2,138,4,111
83,3,770,50,697
83,4,752,256,735
83,5,973,248,867
84,1,659,93,633
84,2,202,113,173
84,3,455,24,378
84,4,680,47,608
84,5,601,43,591
85,1,171,1,154
85,2,387,187,348
85,3,749,131,615
85,4,843,78,760
85,5,270,37,235
86,1,418,88,335
86,2,326,30,273
86,3,735,137,670
86,4,103,37,94
86,5,169,7,160
87,1,641,35,593
87,2,109,66,90
87,3,357,38,326
87,4,194,20,187
87,5,247,5,235
88,1,224,31,201
88,2,855,159,744
88,3,302,75,266
88,4,979,104,809
88,5,426,91,406
89,1,663,6,654
89,2,420,19,366
89,3,389,51,343
89,4,697,440,626
89,5,168,13,142
90,1,709,101,706
90,2,371,79,316
90,3,699,104,577
90,4,105,32,102
90,5,571,46,464
91,1,973,48,857
91,2,298,159,291
91,3,160,26,134
91,4,979,93,974
91,5,696,36,671
92,1,503,137,454
92,2,467,110,407
92,3,646,23,581
92,4,933,6,802
92,5,119,41,104
93,1,456,64,396
93,2,176,19,146
93,3,173,6,173
93,4,584,307,521
93,5,731,59,619
94,1,601,74,570
94,2,136,2,112
94,3,316,38,306
94,4,924,370,914
94,5,686,160,626
95,1,450,1,403
95,2,821,59,703
95,3,149,9,133
95,4,523,122,453
95,5,250,132,225
96,1,267,153,258
96,2,607,4,600
96,3,248,1,223
96,4,157,37,126
96,5,565,39,508
97,1,960,338,848
97,2,390,64,370
97,3,969,194,797
97,4,139,16,123
97,5,753,46,729
98,1,385,25,334
98,2,912,211,853
98,3,771,195,762
98,4,180,16,173
98,5,867,220,789
99,1,123,21,106
99,2,484,43,433
99,3,765,140,697
99,4,212,59,198
99,5,898,153,804
100,1,696,19,648
100,2,946,5,933
100,3,173,1,139
100,4,819,614,817
100,5,835,93,775
