set,task,T,C,D
30,1,539,7,539
30,2,414,28,414
30,3,239,58,239
30,4,343,51,343
30,5,950,42,950
30,6,956,85,956
30,7,589,25,589
30,8,117,5,117
31,1,958,46,958
31,2,550,4,550
31,3,803,58,803
31,4,340,94,340
31,5,714,30,714
31,6,424,40,424
31,7,916,67,916
31,8,457,36,457
32,1,632,7,632
32,2,298,1,298
32,3,335,16,335
32,4,145,43,145
32,5,756,10,756
32,6,363,97,363
32,7,555,28,555
32,8,416,3,416
33,1,474,21,474
33,2,787,14,787
33,3,497,5,497
33,4,402,130,402
33,5,832,51,832
33,6,338,4,338
33,7,920,186,920
33,8,859,20,859
34,1,897,28,897
34,2,321,38,321
34,3,601,2,601
34,4,106,4,106
34,5,445,20,445
34,6,361,87,361
34,7,965,134,965
34,8,399,29,399
35,1,212,20,212
35,2,363,8,363
35,3,517,45,517
35,4,192,13,192
35,5,874,185,874
35,6,423,29,423
35,7,226,15,226
35,8,679,49,679
36,1,703,57,703
36,2,784,39,784
36,3,133,7,133
36,4,350,8,350
36,5,180,17,180
36,6,810,163,810
36,7,668,70,668
36,8,908,75,908
37,1,353,33,353
37,2,553,35,553
37,3,780,56,780
37,4,609,1,609
37,5,170,2,170
37,6,401,23,401
37,7,928,6,928
37,8,123,47,123
38,1,320,17,320
38,2,467,6,467
38,3,417,9,417
38,4,103,17,103
38,5,610,3,610
38,6,900,89,900
38,7,661,205,661
38,8,538,8,538
39,1,398,46,398
39,2,184,15,184
39,3,124,12,124
39,4,914,25,914
39,5,327,67,327
39,6,841,105,841
39,7,785,14,785
39,8,882,16,882
40,1,790,2,790
40,2,842,85,842
40,3,275,40,275
40,4,938,41,938
40,5,668,18,668
40,6,338,88,338
40,7,492,26,492
40,8,848,49,848
41,1,617,13,617
41,2,258,4,258
41,3,634,178,634
41,4,893,57,893
41,5,475,47,475
41,6,803,27,803
41,7,542,44,542
41,8,660,65,660
42,1,978,23,978
42,2,893,10,893
42,3,773,7,773
42,4,307,43,307
42,5,679,87,679
42,6,779,102,779
42,7,359,59,359
42,8,674,58,674
43,1,554,47,554
43,2,385,8,385
43,3,817,51,817
43,4,645,70,645
43,5,794,43,794
43,6,772,165,772
43,7,992,30,992
43,8,993,118,993
44,1,246,11,246
44,2,282,81,282
44,3,975,136,975
44,4,993,54,993
44,5,666,1,666
44,6,170,5,170
44,7,454,1,454
44,8,694,91,694
45,1,342,49,342
45,2,439,25,439
45,3,788,21,788
45,4,657,69,657
45,5,512,15,512
45,6,345,14,345
45,7,168,2,168
45,8,900,247,900
46,1,108,1,108
46,2,258,6,258
46,3,850,3,850
46,4,716,78,716
46,5,872,76,872
46,6,489,112,489
46,7,649,2,649
46,8,526,126,526
47,1,925,169,925
47,2,248,61,248
47,3,478,29,478
47,4,967,96,967
47,5,413,16,413
47,6,841,14,841
47,7,205,6,205
47,8,235,4,235
48,1,688,34,688
48,2,999,44,999
48,3,820,26,820
48,4,901,219,901
48,5,153,6,153
48,6,455,76,455
48,7,273,4,273
48,8,536,53,536
49,1,929,114,929
49,2,496,122,496
49,3,676,8,676
49,4,195,1,195
49,5,613,1,613
49,6,522,46,522
49,7,789,22,789
49,8,121,23,121
50,1,848,246,848
50,2,829,97,829
50,3,120,2,120
50,4,537,21,537
50,5,1000,120,1000
50,6,547,30,547
50,7,907,3,907
50,8,437,21,437
51,1,733,138,733
51,2,754,4,754
51,3,667,7,667
51,4,653,25,653
51,5,540,2,540
51,6,254,57,254
51,7,159,10,159
51,8,499,78,499
52,1,484,140,484
52,2,359,19,359
52,3,990,6,990
52,4,345,14,345
52,5,837,51,837
52,6,368,34,368
52,7,403,48,403
52,8,298,9,298
53,1,817,100,817
53,2,978,21,978
53,3,221,35,221
53,4,664,77,664
53,5,552,30,552
53,6,503,10,503
53,7,960,168,960
53,8,601,14,601
54,1,333,42,333
54,2,584,49,584
54,3,190,8,190
54,4,228,5,228
54,5,494,131,494
54,6,826,1,826
54,7,426,1,426
54,8,592,91,592
55,1,458,12,458
55,2,683,49,683
55,3,890,300,890
55,4,653,17,653
55,5,920,153,920
55,6,867,13,867
55,7,207,1,207
55,8,323,15,323
56,1,252,7,252
56,2,796,2,796
56,3,113,10,113
56,4,328,1,328
56,5,225,52,225
56,6,348,18,348
56,7,266,55,266
56,8,101,7,101
57,1,980,26,980
57,2,630,42,630
57,3,369,43,369
57,4,429,10,429
57,5,101,9,101
57,6,660,216,660
57,7,932,17,932
57,8,929,23,929
58,1,796,35,796
58,2,826,278,826
58,3,285,39,285
58,4,762,8,762
58,5,455,14,455
58,6,266,1,266
58,7,857,83,857
58,8,832,26,832
59,1,170,26,170
59,2,747,27,747
59,3,654,35,654
59,4,103,18,103
59,5,929,39,929
59,6,178,21,178
59,7,248,16,248
59,8,973,49,973
60,1,229,11,229
60,2,146,34,146
60,3,787,1,787
60,4,942,192,942
60,5,360,1,360
60,6,174,15,174
60,7,245,25,245
60,8,886,11,886
61,1,907,18,907
61,2,610,13,610
61,3,925,119,925
61,4,654,93,654
61,5,478,90,478
61,6,888,71,888
61,7,580,27,580
61,8,767,52,767
62,1,669,49,669
62,2,895,2,895
62,3,776,51,776
62,4,801,81,801
62,5,904,74,904
62,6,181,14,181
62,7,660,170,660
62,8,776,26,776
63,1,304,12,304
63,2,747,13,747
63,3,234,36,234
63,4,588,76,588
63,5,966,37,966
63,6,545,77,545
63,7,202,17,202
63,8,155,13,155
64,1,576,1,576
64,2,261,20,261
64,3,635,12,635
64,4,110,1,110
64,5,279,12,279
64,6,145,9,145
64,7,760,138,760
64,8,289,88,289
65,1,572,18,572
65,2,839,2,839
65,3,668,39,668
65,4,406,4,406
65,5,884,54,884
65,6,547,89,547
65,7,287,90,287
65,8,170,8,170
66,1,119,1,119
66,2,329,28,329
66,3,501,10,501
66,4,353,53,353
66,5,442,118,442
66,6,454,61,454
66,7,781,4,781
66,8,506,11,506
67,1,278,45,278
67,2,829,47,829
67,3,246,4,246
67,4,195,7,195
67,5,921,37,921
67,6,320,25,320
67,7,259,38,259
67,8,841,132,841
68,1,664,29,664
68,2,973,8,973
68,3,112,5,112
68,4,163,16,163
68,5,952,21,952
68,6,622,234,622
68,7,156,3,156
68,8,498,40,498
69,1,913,46,913
69,2,529,38,529
69,3,110,17,110
69,4,197,12,197
69,5,195,31,195
69,6,945,67,945
69,7,977,46,977
69,8,911,61,911
70,1,650,86,650
70,2,396,13,396
70,3,959,85,959
70,4,475,41,475
70,5,387,66,387
70,6,737,100,737
70,7,365,14,365
70,8,214,1,214
71,1,869,80,869
71,2,322,33,322
71,3,643,17,643
71,4,223,7,223
71,5,290,37,290
71,6,624,94,624
71,7,598,75,598
71,8,518,17,518
72,1,579,144,579
72,2,399,87,399
72,3,752,39,752
72,4,105,10,105
72,5,803,1,803
72,6,870,3,870
72,7,814,3,814
72,8,305,20,305
73,1,606,118,606
73,2,546,7,546
73,3,583,46,583
73,4,150,3,150
73,5,732,135,732
73,6,394,42,394
73,7,419,33,419
73,8,631,9,631
74,1,374,7,374
74,2,497,76,497
74,3,705,72,705
74,4,157,16,157
74,5,460,5,460
74,6,519,11,519
74,7,913,34,913
74,8,303,73,303
75,1,784,26,784
75,2,991,143,991
75,3,540,21,540
75,4,853,9,853
75,5,971,142,971
75,6,291,54,291
75,7,542,43,542
75,8,325,17,325
76,1,933,39,933
76,2,118,12,118
76,3,682,28,682
76,4,642,126,642
76,5,478,71,478
76,6,335,13,335
76,7,123,1,123
76,8,386,44,386
77,1,229,6,229
77,2,296,1,296
77,3,749,2,749
77,4,386,150,386
77,5,221,13,221
77,6,348,50,348
77,7,644,1,644
77,8,785,52,785
78,1,473,60,473
78,2,556,19,556
78,3,280,11,280
78,4,636,14,636
78,5,941,23,941
78,6,915,236,915
78,7,996,84,996
78,8,676,71,676
79,1,246,3,246
79,2,292,7,292
79,3,341,1,341
79,4,966,231,966
79,5,869,10,869
79,6,488,64,488
79,7,673,98,673
79,8,298,37,298
80,1,885,95,885
80,2,673,28,673
80,3,383,18,383
80,4,385,46,385
80,5,605,26,605
80,6,192,25,192
80,7,746,32,746
80,8,508,82,508
81,1,223,20,223
81,2,627,10,627
81,3,236,1,236
81,4,655,181,655
81,5,490,22,490
81,6,270,2,270
81,7,900,223,900
81,8,175,1,175
82,1,953,78,953
82,2,265,43,265
82,3,991,9,991
82,4,312,11,312
82,5,245,26,245
82,6,434,78,434
82,7,960,6,960
82,8,597,64,597
83,1,929,97,929
83,2,304,1,304
83,3,536,8,536
83,4,310,50,310
83,5,378,56,378
83,6,951,120,951
83,7,609,4,609
83,8,883,118,883
84,1,683,7,683
84,2,608,30,608
84,3,516,166,516
84,4,884,84,884
84,5,345,15,345
84,6,975,74,975
84,7,492,32,492
84,8,900,29,900
85,1,800,1,800
85,2,468,54,468
85,3,684,83,684
85,4,196,15,196
85,5,443,6,443
85,6,420,38,420
85,7,769,178,769
85,8,826,32,826
86,1,426,41,426
86,2,726,184,726
86,3,294,10,294
86,4,953,60,953
86,5,797,54,797
86,6,257,39,257
86,7,683,10,683
86,8,524,5,524
87,1,338,85,338
87,2,671,23,671
87,3,980,32,980
87,4,103,5,103
87,5,972,44,972
87,6,127,18,127
87,7,766,3,766
87,8,807,102,807
88,1,189,40,189
88,2,788,38,788
88,3,740,3,740
88,4,661,94,661
88,5,259,12,259
88,6,649,125,649
88,7,215,6,215
88,8,746,11,746
89,1,759,88,759
89,2,338,6,338
89,3,673,6,673
89,4,364,89,364
89,5,128,2,128
89,6,583,98,583
89,7,834,61,834
89,8,680,32,680
90,1,232,21,232
90,2,620,82,620
90,3,840,47,840
90,4,570,31,570
90,5,553,30,553
90,6,222,25,222
90,7,667,61,667
90,8,769,79,769
91,1,920,34,920
91,2,499,78,499
91,3,240,6,240
91,4,126,23,126
91,5,519,27,519
91,6,213,26,213
91,7,676,29,676
91,8,853,59,853
92,1,148,1,148
92,2,432,29,432
92,3,209,43,209
92,4,565,23,565
92,5,415,84,415
92,6,840,91,840
92,7,912,26,912
92,8,245,8,245
93,1,420,81,420
93,2,271,44,271
93,3,831,47,831
93,4,511,28,511
93,5,399,34,399
93,6,627,34,627
93,7,310,17,310
93,8,877,30,877
94,1,707,23,707
94,2,569,144,569
94,3,309,48,309
94,4,563,9,563
94,5,489,14,489
94,6,956,103,956
94,7,265,6,265
94,8,994,75,994
95,1,521,15,521
95,2,505,66,505
95,3,770,21,770
95,4,186,57,186
95,5,219,21,219
95,6,397,33,397
95,7,721,3,721
95,8,123,1,123
96,1,837,42,837
96,2,102,3,102
96,3,378,16,378
96,4,254,11,254
96,5,683,192,683
96,6,863,65,863
96,7,731,26,731
96,8,837,110,837
97,1,909,2,909
97,2,605,20,605
97,3,769,58,769
97,4,865,10,865
97,5,936,127,936
97,6,116,34,116
97,7,914,82,914
97,8,376,19,376
98,1,493,54,493
98,2,558,2,558
98,3,599,65,599
98,4,482,36,482
98,5,837,75,837
98,6,637,68,637
98,7,430,24,430
98,8,335,48,335
99,1,120,4,120
99,2,431,34,431
99,3,292,3,292
99,4,438,54,438
99,5,176,68,176
99,6,559,15,559
99,7,677,7,677
99,8,196,2,196
100,1,462,29,462
100,2,397,57,397
100,3,923,126,923
100,4,763,57,763
100,5,343,27,343
100,6,972,52,972
100,7,416,34,416
100,8,576,33,576
