set,task,T,C,D
19,1,730,162,686
19,2,405,18,325
19,3,945,44,760
19,4,621,127,578
19,5,712,82,654
19,6,503,76,434
19,7,969,33,940
19,8,496,37,403
20,1,685,51,642
20,2,308,3,258
20,3,217,29,183
20,4,477,53,430
20,5,309,106,256
20,6,839,18,824
20,7,111,14,102
20,8,932,67,774
21,1,985,15,801
21,2,212,20,180
21,3,406,117,364
21,4,447,81,414
21,5,964,41,858
21,6,933,14,919
21,7,682,121,647
21,8,185,14,172
22,1,588,58,583
22,2,694,61,691
22,3,278,31,277
22,4,946,105,802
22,5,410,98,375
22,6,640,39,618
22,7,109,16,93
22,8,252,9,206
23,1,660,200,593
23,2,153,24,151
23,3,915,187,815
23,4,707,57,643
23,5,441,18,410
23,6,218,1,177
23,7,821,54,693
23,8,412,15,332
24,1,505,1,420
24,2,618,218,560
24,3,508,5,419
24,4,457,7,405
24,5,537,134,471
24,6,962,194,931
24,7,738,11,663
24,8,392,18,389
25,1,269,37,242
25,2,737,112,631
25,3,634,89,614
25,4,572,102,458
25,5,614,45,527
25,6,102,9,85
25,7,129,14,113
25,8,656,1,612
26,1,828,58,799
26,2,776,37,756
26,3,918,27,745
26,4,426,62,401
26,5,197,37,167
26,6,792,32,673
26,7,853,222,792
26,8,623,68,504
27,1,626,10,545
27,2,706,62,582
27,3,304,19,296
27,4,299,2,251
27,5,131,5,108
27,6,368,24,318
27,7,128,33,127
27,8,698,240,600
28,1,436,57,393
28,2,649,116,572
28,3,890,35,821
28,4,169,13,137
28,5,630,66,584
28,6,343,21,291
28,7,997,172,872
28,8,856,108,813
29,1,722,67,676
29,2,344,1,344
29,3,899,101,759
29,4,997,118,901
29,5,336,7,279
29,6,692,124,645
29,7,116,34,115
29,8,729,55,704
30,1,673,50,554
30,2,582,84,481
30,3,267,19,238
30,4,740,163,698
30,5,413,60,354
30,6,559,5,548
30,7,796,147,637
30,8,978,42,841
31,1,514,29,436
31,2,904,61,763
31,3,826,70,749
31,4,880,12,814
31,5,150,1,142
31,6,508,96,459
31,7,390,38,316
31,8,631,242,584
32,1,563,15,549
32,2,411,66,353
32,3,730,28,649
32,4,894,74,822
32,5,866,48,779
32,6,114,18,106
32,7,362,53,316
32,8,125,27,104
33,1,623,43,531
33,2,119,7,107
33,3,567,71,538
33,4,704,46,660
33,5,616,244,523
33,6,192,12,181
33,7,278,5,255
33,8,696,60,579
34,1,420,63,389
34,2,992,69,980
34,3,425,78,342
34,4,174,59,155
34,5,267,12,235
34,6,435,7,353
34,7,828,40,688
34,8,315,12,304
35,1,841,140,814
35,2,612,19,571
35,3,399,119,353
35,4,377,28,366
35,5,186,26,183
35,6,463,14,401
35,7,980,111,976
35,8,128,4,107
36,1,665,138,582
36,2,949,57,787
36,3,460,5,416
36,4,271,19,218
36,5,791,52,659
36,6,415,22,377
36,7,714,133,706
36,8,837,201,766
37,1,947,113,922
37,2,636,34,537
37,3,160,20,159
37,4,630,28,577
37,5,808,54,686
37,6,248,3,241
37,7,312,42,255
37,8,607,202,603
38,1,186,15,181
38,2,927,132,775
38,3,859,60,847
38,4,202,12,179
38,5,991,5,870
38,6,976,127,829
38,7,819,286,756
38,8,262,14,243
39,1,381,12,322
39,2,979,222,889
39,3,652,305,560
39,4,255,1,254
39,5,829,26,762
39,6,627,45,533
39,7,680,10,554
39,8,700,31,662
40,1,255,13,226
40,2,516,52,461
40,3,704,12,700
40,4,464,36,389
40,5,498,249,467
40,6,137,5,111
40,7,100,4,80
40,8,854,56,684
41,1,626,64,550
41,2,746,161,699
41,3,914,34,760
41,4,724,83,637
41,5,638,36,616
41,6,141,28,126
41,7,100,12,83
41,8,797,32,792
42,1,234,39,210
42,2,360,3,316
42,3,898,171,771
42,4,432,8,364
42,5,943,192,793
42,6,204,28,189
42,7,686,34,676
42,8,720,83,672
43,1,489,26,412
43,2,499,69,471
43,3,352,17,335
43,4,325,4,312
43,5,346,46,327
43,6,952,318,822
43,7,778,59,710
43,8,374,36,321
44,1,569,11,525
44,2,331,29,302
44,3,287,58,263
44,4,434,169,433
44,5,361,7,347
44,6,477,24,472
44,7,121,10,105
44,8,205,8,169
45,1,569,15,553
45,2,363,85,362
45,3,930,56,821
45,4,117,27,106
45,5,860,209,736
45,6,908,12,786
45,7,439,31,426
45,8,741,11,617
46,1,985,80,962
46,2,774,50,685
46,3,618,140,577
46,4,882,193,873
46,5,855,1,745
46,6,693,42,691
46,7,479,74,456
46,8,976,88,847
47,1,533,126,482
47,2,887,33,841
47,3,741,102,728
47,4,731,135,694
47,5,745,78,638
47,6,145,6,122
47,7,447,64,402
47,8,829,3,814
48,1,427,110,406
48,2,471,40,409
48,3,734,63,643
48,4,556,70,452
48,5,148,1,138
48,6,321,65,278
48,7,665,27,621
48,8,441,38,371
49,1,118,4,112
49,2,315,64,282
49,3,417,12,416
49,4,574,162,519
49,5,114,8,103
49,6,808,17,781
49,7,406,55,362
49,8,904,93,835
50,1,595,36,550
50,2,806,18,751
50,3,890,65,863
50,4,207,94,192
50,5,758,13,640
50,6,326,27,261
50,7,554,95,488
50,8,427,4,345
51,1,680,82,631
51,2,280,26,235
51,3,904,92,847
51,4,768,23,697
51,5,504,101,420
51,6,789,207,746
51,7,824,27,669
51,8,153,8,124
52,1,135,4,126
52,2,428,38,423
52,3,233,36,188
52,4,818,114,730
52,5,535,70,515
52,6,577,59,528
52,7,676,70,560
52,8,934,130,871
53,1,671,170,571
53,2,530,28,446
53,3,786,29,672
53,4,544,62,527
53,5,501,30,480
53,6,769,11,692
53,7,136,34,115
53,8,532,58,460
54,1,376,3,344
54,2,931,182,782
54,3,138,9,120
54,4,496,90,494
54,5,800,307,794
54,6,557,1,485
54,7,760,26,654
54,8,191,3,159
55,1,464,165,372
55,2,380,7,374
55,3,571,37,558
55,4,593,18,508
55,5,404,66,400
55,6,497,72,454
55,7,181,5,148
55,8,662,58,542
56,1,195,25,161
56,2,124,24,119
56,3,271,1,231
56,4,250,3,229
56,5,790,189,638
56,6,776,135,679
56,7,712,87,653
56,8,712,11,571
57,1,833,34,769
57,2,827,62,667
57,3,678,18,665
57,4,924,29,777
57,5,718,1,654
57,6,161,1,151
57,7,829,307,821
57,8,390,134,342
58,1,375,116,335
58,2,404,41,399
58,3,853,59,803
58,4,333,13,327
58,5,745,110,638
58,6,978,89,858
58,7,124,1,111
58,8,678,93,613
59,1,391,9,345
59,2,223,10,198
59,3,429,35,396
59,4,482,69,400
59,5,525,108,457
59,6,933,227,809
59,7,521,28,521
59,8,830,78,816
60,1,207,11,168
60,2,830,194,769
60,3,244,38,238
60,4,293,43,240
60,5,230,8,191
60,6,919,196,745
60,7,668,1,580
60,8,590,28,515
61,1,664,159,655
61,2,361,10,332
61,3,844,72,721
61,4,434,7,433
61,5,595,112,552
61,6,858,187,710
61,7,436,46,377
61,8,488,6,450
62,1,673,7,554
62,2,482,1,406
62,3,499,273,447
62,4,126,7,119
62,5,333,3,303
62,6,145,11,144
62,7,117,10,117
62,8,406,39,380
63,1,261,40,216
63,2,558,84,525
63,3,814,317,710
63,4,536,45,509
63,5,780,18,686
63,6,725,33,705
63,7,702,20,623
63,8,535,11,481
64,1,936,1,848
64,2,574,137,472
64,3,843,76,765
64,4,115,2,103
64,5,828,64,756
64,6,221,58,185
64,7,427,67,390
64,8,217,10,180
65,1,828,50,810
65,2,636,40,563
65,3,495,174,410
65,4,598,22,559
65,5,952,21,885
65,6,819,24,672
65,7,386,80,330
65,8,270,33,245
66,1,963,138,807
66,2,325,46,300
66,3,170,13,159
66,4,266,115,217
66,5,292,1,242
66,6,355,7,301
66,7,420,30,367
66,8,800,5,769
67,1,284,1,263
67,2,241,80,232
67,3,762,77,646
67,4,728,150,637
67,5,626,84,554
67,6,648,57,632
67,7,655,2,587
67,8,926,22,771
68,1,225,62,198
68,2,691,6,582
68,3,130,19,121
68,4,954,113,909
68,5,574,4,550
68,6,938,37,852
68,7,192,33,189
68,8,870,106,793
69,1,119,1,96
69,2,669,46,571
69,3,578,40,470
69,4,861,322,838
69,5,606,98,572
69,6,186,34,166
69,7,388,5,349
69,8,986,11,954
70,1,794,23,784
70,2,145,30,125
70,3,289,2,234
70,4,587,147,567
70,5,981,144,948
70,6,705,54,628
70,7,520,65,457
70,8,713,33,627
71,1,809,18,703
71,2,202,5,196
71,3,403,105,368
71,4,864,217,716
71,5,264,4,264
71,6,622,111,569
71,7,902,75,827
71,8,805,46,687
72,1,831,91,798
72,2,323,2,272
72,3,483,40,462
72,4,225,70,212
72,5,842,156,753
72,6,452,23,383
72,7,183,23,148
72,8,712,14,705
73,1,138,2,129
73,2,783,21,669
73,3,388,1,368
73,4,428,123,379
73,5,154,14,136
73,6,819,254,753
73,7,333,49,279
73,8,389,1,323
74,1,113,23,103
74,2,292,7,276
74,3,165,19,157
74,4,507,45,461
74,5,128,22,124
74,6,840,134,788
74,7,993,68,898
74,8,797,44,797
75,1,179,4,160
75,2,344,2,284
75,3,175,22,159
75,4,252,85,239
75,5,170,40,146
75,6,273,7,272
75,7,572,2,513
75,8,492,61,422
76,1,730,34,644
76,2,807,236,798
76,3,926,121,822
76,4,713,106,696
76,5,824,175,819
76,6,421,6,363
76,7,354,15,291
76,8,429,3,384
77,1,581,62,518
77,2,221,8,187
77,3,528,8,510
77,4,124,30,100
77,5,140,24,114
77,6,779,2,769
77,7,889,63,876
77,8,310,74,265
78,1,932,91,792
78,2,331,69,280
78,3,240,58,205
78,4,175,1,146
78,5,913,3,882
78,6,290,64,237
78,7,653,62,559
78,8,318,6,280
79,1,646,90,517
79,2,880,60,860
79,3,540,22,444
79,4,636,207,546
79,5,466,48,386
79,6,945,81,919
79,7,402,33,352
79,8,975,46,957
80,1,345,24,312
80,2,694,141,565
80,3,493,56,448
80,4,128,30,103
80,5,200,9,161
80,6,590,108,532
80,7,879,19,845
80,8,196,3,193
81,1,495,24,463
81,2,675,12,641
81,3,760,121,626
81,4,415,30,411
81,5,291,8,265
81,6,296,42,260
81,7,853,83,805
81,8,819,267,676
82,1,923,20,763
82,2,941,223,876
82,3,344,3,297
82,4,320,36,280
82,5,600,36,513
82,6,657,4,613
82,7,256,41,211
82,8,495,142,450
83,1,349,24,287
83,2,105,40,85
83,3,392,7,345
83,4,904,288,891
83,5,678,6,630
83,6,134,1,113
83,7,871,54,751
83,8,895,25,826
84,1,141,8,116
84,2,680,1,616
84,3,655,158,535
84,4,735,154,697
84,5,554,33,504
84,6,573,39,514
84,7,347,11,313
84,8,529,119,453
85,1,244,23,237
85,2,244,30,224
85,3,294,35,241
85,4,825,117,675
85,5,154,15,154
85,6,420,33,372
85,7,203,23,170
85,8,426,51,346
86,1,757,108,697
86,2,485,25,470
86,3,257,37,218
86,4,312,29,299
86,5,351,46,329
86,6,181,2,161
86,7,985,257,931
86,8,683,39,618
87,1,548,124,491
87,2,653,61,628
87,3,150,7,122
87,4,931,266,805
87,5,620,98,577
87,6,204,9,191
87,7,893,4,838
87,8,586,16,473
88,1,814,233,764
88,2,729,134,619
88,3,145,15,126
88,4,707,63,681
88,5,372,22,299
88,6,337,1,290
88,7,986,89,819
88,8,659,51,628
89,1,523,76,476
89,2,425,14,424
89,3,654,36,536
89,4,328,47,314
89,5,683,50,622
89,6,513,59,411
89,7,657,129,657
89,8,195,25,164
90,1,225,41,208
90,2,340,9,330
90,3,465,184,401
90,4,322,14,320
90,5,248,1,244
90,6,744,93,661
90,7,552,54,524
90,8,172,3,167
91,1,603,53,492
91,2,814,243,695
91,3,367,23,345
91,4,586,6,483
91,5,983,181,817
91,6,631,73,551
91,7,268,32,267
91,8,350,5,283
92,1,531,16,475
92,2,389,2,354
92,3,215,64,186
92,4,478,8,423
92,5,376,77,319
92,6,264,18,263
92,7,838,222,702
92,8,298,1,292
93,1,319,9,310
93,2,226,1,204
93,3,607,179,600
93,4,256,55,212
93,5,738,6,737
93,6,252,38,227
93,7,784,100,745
93,8,369,24,304
94,1,446,39,398
94,2,121,8,111
94,3,715,48,684
94,4,990,108,964
94,5,524,11,441
94,6,199,55,183
94,7,106,14,90
94,8,238,32,191
95,1,551,25,544
95,2,670,80,583
95,3,959,21,917
95,4,842,167,740
95,5,363,67,329
95,6,299,57,249
95,7,820,35,783
95,8,782,71,776
96,1,298,53,241
96,2,938,84,855
96,3,146,1,122
96,4,671,142,606
96,5,370,39,358
96,6,689,11,684
96,7,338,45,326
96,8,121,18,116
97,1,669,53,612
97,2,803,3,767
97,3,759,8,689
97,4,932,38,845
97,5,736,99,629
97,6,747,188,691
97,7,730,44,710
97,8,737,232,685
98,1,638,146,566
98,2,360,23,312
98,3,125,5,121
98,4,302,66,287
98,5,281,15,249
98,6,703,89,697
98,7,554,32,549
98,8,634,60,565
99,1,564,111,454
99,2,829,28,826
99,3,435,5,406
99,4,331,61,278
99,5,833,74,767
99,6,936,225,786
99,7,253,32,210
99,8,699,9,640
100,1,456,58,381
100,2,571,39,516
100,3,976,229,844
100,4,787,4,746
100,5,984,68,906
100,6,831,2,827
100,7,592,192,522
100,8,786,50,672
