set,task,T,C,D
13,7,134,6,119
13,8,628,132,530
14,1,517,66,434
14,2,916,203,874
14,3,565,34,460
14,4,457,3,367
14,5,990,63,891
14,6,665,77,664
14,7,877,72,743
14,8,453,7,380
15,1,955,19,844
15,2,596,25,529
15,3,173,3,149
15,4,319,6,306
15,5,772,44,659
15,6,945,141,820
15,7,744,119,710
15,8,924,212,860
16,1,561,14,457
16,2,504,218,473
16,3,827,28,787
16,4,690,9,594
16,5,661,8,541
16,6,643,19,627
16,7,276,21,240
16,8,691,50,677
17,1,316,5,316
17,2,574,4,509
17,3,414,183,349
17,4,342,13,286
17,5,155,5,155
17,6,1000,84,800
17,7,584,22,581
17,8,755,22,742
18,1,128,51,106
18,2,198,12,180
18,3,421,30,403
18,4,599,18,540
18,5,451,42,444
18,6,559,1,558
18,7,428,5,387
18,8,814,17,759
19,1,462,88,370
19,2,575,3,554
19,3,992,97,911
19,4,402,1,326
19,5,404,39,358
19,6,600,48,487
19,7,218,7,194
19,8,593,111,572
20,1,100,1,100
20,2,927,68,756
20,3,791,22,638
20,4,282,20,227
20,5,752,1,677
20,6,742,215,625
20,7,379,38,312
20,8,109,13,98
21,1,755,27,692
21,2,544,78,488
21,3,983,79,839
21,4,741,100,604
21,5,943,19,836
21,6,814,128,791
21,7,929,19,865
21,8,738,75,726
22,1,818,40,754
22,2,769,118,741
22,3,205,2,200
22,4,642,42,515
22,5,379,66,361
22,6,220,4,219
22,7,175,12,171
22,8,327,49,312
23,1,971,6,782
23,2,967,124,786
23,3,245,33,208
23,4,427,2,402
23,5,549,41,536
23,6,847,72,704
23,7,159,1,154
23,8,907,229,796
24,1,745,24,692
24,2,945,167,768
24,3,191,45,180
24,4,498,1,400
24,5,451,18,397
24,6,650,44,640
24,7,821,22,749
24,8,238,27,212
25,1,425,62,351
25,2,779,65,734
25,3,129,1,117
25,4,251,51,247
25,5,800,118,666
25,6,745,12,644
25,7,920,30,841
25,8,143,9,134
26,1,796,75,637
26,2,148,15,143
26,3,974,139,909
26,4,755,62,723
26,5,546,1,446
26,6,848,18,741
26,7,962,158,852
26,8,146,12,125
27,1,439,38,428
27,2,804,167,681
27,3,168,16,161
27,4,724,6,611
27,5,591,62,496
27,6,993,98,870
27,7,168,13,151
27,8,856,13,738
28,1,775,78,631
28,2,898,62,847
28,3,657,3,572
28,4,283,3,233
28,5,266,48,262
28,6,774,36,722
28,7,503,133,494
28,8,179,3,159
29,1,396,111,366
29,2,978,57,797
29,3,210,35,178
29,4,969,24,891
29,5,931,38,768
29,6,393,9,360
29,7,982,18,932
29,8,816,64,721
30,1,654,85,570
30,2,413,2,397
30,3,377,81,344
30,4,702,1,641
30,5,339,6,319
30,6,711,23,711
30,7,401,81,398
30,8,662,59,570
31,1,260,32,238
31,2,181,1,145
31,3,366,23,311
31,4,608,9,491
31,5,945,253,772
31,6,817,56,705
31,7,848,66,788
31,8,577,43,475
32,1,950,29,815
32,2,587,22,471
32,3,946,18,757
32,4,611,80,506
32,5,136,33,128
32,6,204,24,198
32,7,770,33,649
32,8,467,32,426
33,1,859,121,834
33,2,414,9,364
33,3,908,314,742
33,4,209,1,193
33,5,136,8,126
33,6,675,17,618
33,7,456,14,399
33,8,901,60,882
34,1,148,11,147
34,2,430,20,345
34,3,619,63,535
34,4,138,14,137
34,5,428,111,401
34,6,358,13,345
34,7,936,13,844
34,8,603,33,591
35,1,519,21,417
35,2,990,6,795
35,3,567,1,454
35,4,872,103,766
35,5,651,63,558
35,6,198,20,162
35,7,175,34,149
35,8,116,15,100
36,1,442,35,386
36,2,863,137,751
36,3,542,2,499
36,4,445,27,429
36,5,670,6,625
36,6,291,1,256
36,7,113,30,93
36,8,626,71,603
37,1,697,105,611
37,2,725,87,718
37,3,396,80,368
37,4,117,4,101
37,5,478,8,450
37,6,883,26,845
37,7,614,41,599
37,8,341,24,285
38,1,112,2,94
38,2,643,92,595
38,3,655,44,594
38,4,904,3,829
38,5,839,13,812
38,6,260,51,243
38,7,149,2,142
38,8,316,73,254
39,1,638,60,563
39,2,691,32,687
39,3,342,51,340
39,4,496,46,458
39,5,404,5,389
39,6,949,137,880
39,7,159,6,153
39,8,550,62,505
40,1,140,16,140
40,2,764,6,639
40,3,567,17,564
40,4,688,19,608
40,5,411,81,361
40,6,619,88,572
40,7,590,46,522
40,8,353,33,339
41,1,436,46,427
41,2,336,5,334
41,3,139,10,115
41,4,665,39,593
41,5,979,118,916
41,6,958,54,951
41,7,854,175,839
41,8,241,14,228
42,1,625,161,567
42,2,488,20,448
42,3,245,18,204
42,4,198,11,186
42,5,434,22,402
42,6,602,81,570
42,7,150,3,142
42,8,313,16,276
43,1,353,120,341
43,2,676,6,674
43,3,970,7,781
43,4,558,25,465
43,5,491,54,420
43,6,906,19,785
43,7,977,24,828
43,8,797,110,797
44,1,355,96,341
44,2,463,49,381
44,3,818,59,807
44,4,668,22,587
44,5,347,2,290
44,6,467,27,375
44,7,239,29,194
44,8,634,15,521
45,1,285,23,264
45,2,125,4,108
45,3,981,149,902
45,4,332,42,301
45,5,673,67,587
45,6,166,16,165
45,7,295,25,293
45,8,806,11,704
46,1,547,9,540
46,2,358,46,304
46,3,587,18,559
46,4,493,20,424
46,5,700,2,622
46,6,893,265,837
46,7,258,46,249
46,8,343,1,315
47,1,460,21,421
47,2,145,1,132
47,3,994,85,953
47,4,530,80,498
47,5,350,2,321
47,6,202,6,167
47,7,171,41,160
47,8,892,121,830
48,1,704,149,598
48,2,597,130,502
48,3,104,9,90
48,4,285,2,263
48,5,412,31,333
48,6,556,5,515
48,7,704,20,683
48,8,233,12,220
49,1,583,35,558
49,2,693,192,571
49,3,893,41,839
49,4,149,3,122
49,5,149,3,139
49,6,231,6,226
49,7,695,146,613
49,8,141,4,123
50,1,905,5,846
50,2,256,11,238
50,3,739,65,680
50,4,214,20,188
50,5,901,158,860
50,6,928,136,802
50,7,194,14,160
50,8,324,21,293
51,1,361,35,353
51,2,599,11,575
51,3,685,119,553
51,4,370,57,331
51,5,738,34,659
51,6,317,31,258
51,7,352,13,332
51,8,388,25,379
52,1,314,12,258
52,2,989,57,912
52,3,986,78,982
52,4,257,10,222
52,5,366,82,298
52,6,628,61,560
52,7,544,17,513
52,8,161,20,151
53,1,326,9,308
53,2,906,182,875
53,3,189,34,152
53,4,886,85,853
53,5,955,21,778
53,6,229,4,203
53,7,315,12,269
53,8,201,21,195
54,1,166,5,159
54,2,111,2,90
54,3,609,180,506
54,4,951,34,853
54,5,557,28,518
54,6,187,15,158
54,7,408,46,408
54,8,304,20,280
55,1,561,69,522
55,2,766,108,614
55,3,927,1,880
55,4,489,7,455
55,5,641,2,612
55,6,347,69,340
55,7,807,65,693
55,8,492,66,479
56,1,708,7,659
56,2,569,85,506
56,3,390,73,313
56,4,646,41,605
56,5,888,61,847
56,6,111,14,93
56,7,192,13,185
56,8,547,7,508
57,1,738,10,617
57,2,336,82,274
57,3,700,53,662
57,4,234,12,230
57,5,925,37,807
57,6,594,75,545
57,7,887,111,858
57,8,852,13,696
58,1,141,1,121
58,2,239,4,225
58,3,340,17,339
58,4,634,5,556
58,5,697,94,688
58,6,431,30,345
58,7,147,25,127
58,8,866,204,718
59,1,834,81,732
59,2,973,113,910
59,3,284,14,248
59,4,386,1,337
59,5,509,60,437
59,6,536,113,523
59,7,600,21,580
59,8,578,36,488
60,1,287,17,280
60,2,788,138,720
60,3,971,63,882
60,4,332,33,272
60,5,654,51,648
60,6,539,61,521
60,7,712,9,697
60,8,574,54,510
61,1,440,3,429
61,2,120,16,116
61,3,636,160,599
61,4,626,17,607
61,5,985,68,815
61,6,801,66,745
61,7,958,46,955
61,8,576,43,482
62,1,203,15,182
62,2,445,58,390
62,3,622,39,578
62,4,314,71,255
62,5,622,44,558
62,6,539,14,520
62,7,610,4,521
62,8,713,69,688
63,1,697,19,628
63,2,975,91,787
63,3,287,31,262
63,4,361,33,295
63,5,312,41,253
63,6,417,31,376
63,7,973,11,918
63,8,461,71,409
64,1,851,50,751
64,2,752,49,748
64,3,565,15,481
64,4,197,3,181
64,5,308,26,299
64,6,488,40,456
64,7,683,104,664
64,8,531,109,467
65,1,101,18,89
65,2,118,2,106
65,3,792,148,637
65,4,469,71,393
65,5,385,15,333
65,6,950,50,772
65,7,517,24,429
65,8,869,7,803
66,1,573,71,474
66,2,734,14,733
66,3,635,50,583
66,4,194,23,181
66,5,642,6,528
66,6,612,11,538
66,7,333,47,292
66,8,773,141,628
67,1,157,17,133
67,2,968,77,799
67,3,121,5,100
67,4,248,5,217
67,5,818,72,790
67,6,244,1,210
67,7,846,269,778
67,8,381,13,336
68,1,708,72,682
68,2,937,13,886
68,3,293,1,276
68,4,792,78,681
68,5,220,74,184
68,6,689,8,682
68,7,957,69,886
68,8,336,18,333
69,1,419,15,401
69,2,261,69,215
69,3,499,26,401
69,4,505,27,407
69,5,804,34,745
69,6,266,22,248
69,7,596,27,531
69,8,367,42,325
70,1,437,25,396
70,2,545,65,523
70,3,381,5,356
70,4,505,67,505
70,5,958,82,771
70,6,429,41,370
70,7,348,44,300
70,8,868,53,841
71,1,592,4,517
71,2,228,54,187
71,3,303,19,291
71,4,402,14,373
71,5,127,17,104
71,6,729,21,705
71,7,539,24,527
71,8,732,103,693
72,1,620,5,582
72,2,535,5,514
72,3,622,89,595
72,4,929,50,851
72,5,666,10,632
72,6,117,13,98
72,7,212,34,182
72,8,972,183,902
73,1,811,75,791
73,2,962,26,848
73,3,369,31,351
73,4,320,6,262
73,5,369,15,344
73,6,935,271,900
73,7,970,13,777
73,8,524,67,488
74,1,396,41,352
74,2,395,31,350
74,3,525,24,524
74,4,743,104,671
74,5,724,68,722
74,6,704,34,574
74,7,190,4,187
74,8,273,43,223
75,1,512,46,425
75,2,791,5,787
75,3,882,160,784
75,4,564,21,488
75,5,830,158,681
75,6,952,153,913
75,7,106,2,85
75,8,778,9,634
76,1,668,24,565
76,2,124,4,113
76,3,585,46,554
76,4,876,16,783
76,5,763,241,750
76,6,968,35,816
76,7,490,62,412
76,8,876,38,748
77,1,988,38,919
77,2,104,1,92
77,3,172,36,146
77,4,145,17,129
77,5,266,3,223
77,6,846,165,689
77,7,848,58,688
77,8,584,18,500
78,1,931,14,805
78,2,523,142,523
78,3,153,1,128
78,4,306,11,277
78,5,516,46,494
78,6,358,1,295
78,7,493,12,395
78,8,906,228,814
79,1,394,79,326
79,2,821,137,691
79,3,395,26,372
79,4,342,23,327
79,5,631,6,557
79,6,902,67,880
79,7,203,12,168
79,8,773,36,744
80,1,590,4,520
80,2,178,30,154
80,3,773,12,693
80,4,997,193,887
80,5,178,9,149
80,6,118,2,113
80,7,282,39,278
80,8,114,10,109
81,1,482,149,449
81,2,108,21,96
81,3,278,2,223
81,4,991,101,949
81,5,603,6,516
81,6,914,24,833
81,7,744,17,738
81,8,892,17,739
82,1,347,2,291
82,2,184,12,171
82,3,416,70,401
82,4,188,7,164
82,5,873,114,778
82,6,538,113,470
82,7,970,1,933
82,8,805,58,685
83,1,987,164,921
83,2,350,15,301
83,3,513,63,481
83,4,306,13,270
83,5,479,8,477
83,6,734,135,698
83,7,159,12,144
83,8,147,5,121
84,1,956,115,892
84,2,903,55,787
84,3,193,47,175
84,4,554,47,484
84,5,762,29,662
84,6,219,22,190
84,7,308,9,248
84,8,434,6,400
85,1,979,373,831
85,2,277,6,271
85,3,158,8,151
85,4,802,40,652
85,5,149,22,134
85,6,863,20,783
85,7,686,3,588
85,8,638,5,575
86,1,901,133,815
86,2,687,73,652
86,3,903,42,733
86,4,646,51,572
86,5,607,90,576
86,6,894,88,759
86,7,975,1,847
86,8,174,11,140
87,1,608,39,588
87,2,217,2,186
87,3,479,6,433
87,4,271,39,231
87,5,361,14,326
87,6,702,36,579
87,7,768,127,707
87,8,750,153,619
88,1,392,37,333
88,2,896,31,827
88,3,896,77,785
88,4,814,152,718
88,5,450,22,375
88,6,728,49,613
88,7,693,50,582
88,8,756,79,696
89,1,502,2,416
89,2,198,34,182
89,3,320,87,309
89,4,771,99,747
89,5,908,47,750
89,6,123,4,123
89,7,106,1,87
89,8,470,7,458
90,1,744,17,719
90,2,744,70,680
90,3,170,13,159
90,4,979,27,811
90,5,674,128,641
90,6,286,18,234
90,7,945,199,913
90,8,250,1,207
91,1,311,85,279
91,2,618,27,598
91,3,598,72,543
91,4,588,10,476
91,5,865,150,799
91,6,626,7,538
91,7,299,12,270
91,8,618,8,505
92,1,274,7,246
92,2,288,7,232
92,3,646,17,544
92,4,911,297,807
92,5,772,1,706
92,6,281,6,229
92,7,582,64,493
92,8,746,119,660
93,1,793,3,654
93,2,126,16,105
93,3,702,34,599
93,4,974,269,812
93,5,816,1,793
93,6,662,21,550
93,7,537,3,450
93,8,171,34,150
94,1,437,25,396
94,2,778,19,721
94,3,180,2,180
94,4,553,65,502
94,5,788,70,730
94,6,507,85,436
94,7,670,34,631
94,8,784,138,745
95,1,669,3,648
95,2,521,56,477
95,3,191,16,153
95,4,278,26,264
95,5,589,65,475
95,6,706,19,592
95,7,346,57,332
95,8,903,89,841
96,1,578,20,463
96,2,854,82,710
96,3,902,223,821
96,4,407,32,333
96,5,906,46,777
96,6,381,30,340
96,7,641,36,547
96,8,472,24,389
97,1,617,187,512
97,2,398,9,355
97,3,319,8,266
97,4,624,50,538
97,5,625,22,535
97,6,628,42,616
97,7,417,40,366
97,8,204,13,202
98,1,581,38,477
98,2,240,27,203
98,3,329,25,309
98,4,119,6,100
98,5,841,265,818
98,6,841,9,714
98,7,439,19,360
98,8,521,8,458
99,1,683,74,630
99,2,443,2,355
99,3,981,42,879
99,4,872,250,867
99,5,315,37,282
99,6,904,55,745
99,7,669,44,549
99,8,851,6,762
100,1,533,119,493
100,2,774,27,727
100,3,353,6,292
100,4,930,170,869
100,5,313,24,297
100,6,267,1,253
100,7,197,23,159
100,8,933,33,815
