set,task,T,C,D
55,5,494,18,444
56,1,253,22,213
56,2,415,7,399
56,3,434,46,398
56,4,348,102,343
56,5,140,26,139
57,1,371,34,316
57,2,875,290,737
57,3,671,54,625
57,4,921,14,915
57,5,967,170,854
58,1,212,45,178
58,2,652,38,565
58,3,394,59,361
58,4,384,7,354
58,5,522,132,479
59,1,510,18,504
59,2,239,16,239
59,3,806,78,703
59,4,108,1,101
59,5,215,104,173
60,1,106,2,91
60,2,789,42,640
60,3,497,2,410
60,4,877,152,804
60,5,717,318,708
61,1,362,44,301
61,2,439,10,417
61,3,643,79,625
61,4,785,196,744
61,5,441,78,430
62,1,102,1,85
62,2,771,39,748
62,3,770,182,729
62,4,534,96,510
62,5,629,134,600
63,1,812,94,802
63,2,186,41,154
63,3,620,52,610
63,4,134,29,120
63,5,563,30,468
64,1,697,22,609
64,2,665,204,569
64,3,481,21,473
64,4,798,90,653
64,5,675,136,582
65,1,383,11,354
65,2,229,10,227
65,3,862,364,711
65,4,753,43,741
65,5,824,116,661
66,1,881,2,713
66,2,864,31,834
66,3,571,249,535
66,4,173,29,148
66,5,615,33,589
67,1,988,11,840
67,2,489,71,426
67,3,505,112,459
67,4,650,202,650
67,5,552,3,531
68,1,513,18,493
68,2,819,216,767
68,3,401,7,395
68,4,696,166,692
68,5,247,34,239
69,1,249,15,201
69,2,922,78,877
69,3,336,92,301
69,4,594,5,557
69,5,533,142,502
70,1,330,58,264
70,2,713,55,710
70,3,566,29,526
70,4,183,30,159
70,5,353,79,298
71,1,736,45,694
71,2,103,2,87
71,3,835,302,831
71,4,838,65,836
71,5,609,105,526
72,1,256,38,231
72,2,396,45,353
72,3,442,116,389
72,4,783,76,641
72,5,255,18,206
73,1,360,99,311
73,2,154,18,133
73,3,686,58,623
73,4,138,23,130
73,5,993,41,891
74,1,482,17,397
74,2,822,58,788
74,3,655,31,558
74,4,721,276,628
74,5,383,61,363
75,1,154,37,135
75,2,115,15,101
75,3,339,9,291
75,4,710,190,587
75,5,601,13,543
76,1,508,23,440
76,2,634,58,521
76,3,882,98,723
76,4,980,74,970
76,5,982,367,889
77,1,797,237,724
77,2,754,42,613
77,3,461,24,446
77,4,213,45,209
77,5,115,9,92
78,1,594,101,567
78,2,622,91,592
78,3,270,34,267
78,4,294,59,255
78,5,782,40,707
79,1,967,41,819
79,2,677,25,651
79,3,641,30,621
79,4,733,172,687
79,5,263,88,259
80,1,493,75,400
80,2,212,10,174
80,3,512,36,503
80,4,774,301,681
80,5,129,4,118
81,1,933,60,894
81,2,994,274,812
81,3,814,173,702
81,4,313,21,285
81,5,777,60,636
82,1,847,86,740
82,2,776,72,674
82,3,501,245,429
82,4,226,1,201
82,5,244,2,219
83,1,896,102,812
83,2,212,69,207
83,3,198,14,168
83,4,112,17,90
83,5,545,17,490
84,1,599,49,503
84,2,906,175,727
84,3,337,20,314
84,4,761,168,753
84,5,667,94,575
85,1,323,6,273
85,2,251,5,203
85,3,269,45,261
85,4,833,154,708
85,5,219,66,195
86,1,480,109,419
86,2,255,36,213
86,3,323,60,298
86,4,556,12,542
86,5,271,31,239
87,1,175,90,174
87,2,346,22,305
87,3,179,14,149
87,4,359,6,356
87,5,805,14,712
88,1,411,48,344
88,2,936,314,849
88,3,259,43,246
88,4,974,47,903
88,5,681,18,571
89,1,286,48,281
89,2,738,206,684
89,3,969,209,962
89,4,273,7,243
89,5,694,4,664
90,1,405,84,397
90,2,311,1,297
90,3,340,50,311
90,4,182,37,150
90,5,918,124,913
91,1,163,4,147
91,2,845,12,733
91,3,921,103,811
91,4,665,193,617
91,5,165,41,136
92,1,779,82,723
92,2,540,169,495
92,3,191,35,162
92,4,702,2,656
92,5,324,29,313
93,1,640,99,633
93,2,536,161,508
93,3,579,87,565
93,4,662,49,598
93,5,636,11,606
94,1,317,44,284
94,2,447,47,421
94,3,702,83,617
94,4,655,129,619
94,5,195,26,157
95,1,437,70,408
95,2,216,1,179
95,3,296,4,251
95,4,228,28,220
95,5,444,175,406
96,1,590,74,589
96,2,125,15,120
96,3,890,2,857
96,4,675,125,606
96,5,922,244,761
97,1,754,11,640
97,2,376,133,356
97,3,913,34,804
97,4,952,193,893
97,5,180,16,175
98,1,810,17,765
98,2,770,4,753
98,3,647,38,641
98,4,779,358,646
98,5,643,98,552
99,1,928,185,786
99,2,808,47,658
99,3,452,21,422
99,4,906,343,826
99,5,773,11,681
100,1,704,13,622
100,2,240,74,195
100,3,190,14,154
100,4,952,90,820
100,5,560,112,485
